epoch,train_loss,valid_loss,train_acc_at_1,train_acc_at_3,train_acc_at_5,train_acc_at_10,valid_acc_at_1,valid_acc_at_3,valid_acc_at_5,valid_acc_at_10,train_avg_candidates,train_min_candidates,train_max_candidates,valid_avg_candidates,valid_min_candidates,valid_max_candidates,train_rank_percentile,valid_rank_percentile,train_mrr,valid_mrr,train_base_loss,valid_base_loss
1,3.0107019010185123,2.906506305461307,0.1754764472943165,0.39626033802934363,0.5424307804448877,0.7641136280627012,0.2086330935680609,0.4474820144742513,0.5985611476486535,0.8086330930963694,36.90039554117224,4,85,36.91942446043166,6,80,0.252040042107551,0.2293611640637298,0.29574524046003275,0.3252067523783766,3.0107019010185123,2.906506305461307
2,2.9021721733255124,2.8947681698010124,0.1884214310541465,0.4356346638114364,0.5828838545141868,0.8034879536304659,0.21582733740051874,0.4330935252656182,0.6028776983562991,0.830215826909319,36.90039554117224,4,85,36.91942446043166,6,80,0.22987057303189204,0.22832346397657474,0.3204277339911161,0.3249619094710628,2.9021721733255124,2.8947681698010124
3,2.877921224883545,2.807781414333865,0.1916576771052867,0.43959007543739076,0.5938511326217857,0.8229054295300837,0.22014388454903802,0.4762589925055881,0.6215827329553288,0.8474820131878201,36.90039554117224,4,85,36.91942446043166,6,80,0.22503388752861514,0.2122888875792649,0.3236906970262403,0.344348679719391,2.877921224883545,2.807781414333865
4,2.8452400307310697,2.793925869550636,0.20550161807475353,0.4582883854514187,0.6163250630556015,0.8363897875031736,0.2100719415026603,0.47338129367759757,0.6201438826622723,0.8273381263232059,36.90039554117224,4,85,36.91942446043166,6,80,0.21955360990349163,0.2096568096903901,0.3352170566361345,0.34212453893167444,2.8452400307310697,2.793925869550636
5,2.8500947678787854,2.8339964784306586,0.20478245230704406,0.45720963674627246,0.6184825603801627,0.8353110390445047,0.2215827338558307,0.4661870504454743,0.6244604307970555,0.8201438850636105,36.90039554117224,4,85,36.91942446043166,6,80,0.22121461472188014,0.21240739040447754,0.3328369878412633,0.3440722471721289,2.8500947678787854,2.8339964784306586
6,2.841153252000476,2.81079746424723,0.1984897518395863,0.4590075512191281,0.6256742178429292,0.839446242208834,0.21438848905854946,0.4920863296488206,0.6345323732430986,0.8287769779884558,36.90039554117224,4,85,36.91942446043166,6,80,0.21913228311580424,0.2114516325181961,0.33070859787608503,0.345723516369233,2.841153252000476,2.81079746424723
7,2.8304036576642444,2.787262371804217,0.19902912608499537,0.465300251900914,0.6260338009196792,0.8432218624893087,0.23021582660915182,0.4848920850445041,0.6532374084424629,0.8359712231931069,36.90039554117224,4,85,36.91942446043166,6,80,0.2179247979251717,0.20835987782074403,0.3351828286999857,0.3531361770187948,2.8304036576642444,2.787262371804217
8,2.8342771589305924,2.7928158718905003,0.20028766626421815,0.4566702624419232,0.6249550523324134,0.8392664505954442,0.23309352423647325,0.4733812950497909,0.6273381300109754,0.8244604284814794,36.90039554117224,4,85,36.91942446043166,6,80,0.21761296142923378,0.2090560753583487,0.333307472880077,0.35531906815269687,2.8342771589305924,2.7928158718905003
9,2.831488696845561,2.8040243282592554,0.1997482920134509,0.4647608774036694,0.6262135923830394,0.834052499186774,0.23021582660915182,0.49928057523940106,0.6460431618656186,0.8374100687692492,36.90039554117224,4,85,36.91942446043166,6,80,0.2181410315049902,0.20941038055650105,0.33520513895973286,0.35368743278488435,2.831488696845561,2.8040243282592554
10,2.8266234933708434,2.783238158466147,0.19992808343394547,0.4642215030564545,0.6233369290978734,0.8407047821094303,0.21870503601410407,0.48920863142116466,0.6258992769735322,0.8287769785887903,36.90039554117224,4,85,36.91942446043166,6,80,0.2174760794009032,0.20951991330960645,0.33553132512213996,0.35219235488805933,2.8266234933708434,2.783238158466147
11,2.832517832314012,2.7951361299418718,0.20532182664890078,0.4584681770862413,0.6245954691484994,0.8385472849563316,0.22302158200483527,0.48776978348656524,0.6402877661821653,0.8230215829053371,36.90039554117224,4,85,36.91942446043166,6,80,0.21765402596920905,0.2111041910470091,0.33795260748075506,0.35430924360323723,2.832517832314012,2.7951361299418718
12,2.83733286912473,2.7919800504506065,0.20406328661970766,0.46404171144306466,0.6296296297796593,0.843401653931236,0.2287769767020246,0.49928057523940106,0.6345323746152919,0.8489208621086834,36.90039554117224,4,85,36.91942446043166,6,80,0.21706396416294013,0.2106462218277816,0.3378593737965413,0.3532969157779014,2.83733286912473,2.7919800504506065
13,2.8249441097640853,2.799229983117083,0.2110751527369944,0.46817691477885653,0.6240560946726876,0.8434016537383408,0.22302158239076464,0.4964028756395518,0.6388489186334954,0.8446043167182867,36.90039554117224,4,85,36.91942446043166,6,80,0.21501572681294306,0.2095889017377353,0.3430122031419254,0.34530064499429214,2.8249441097640853,2.799229983117083
14,2.8323720268789963,2.800044549283364,0.20244516362092857,0.45667026242049036,0.6247752608476205,0.8457389428906199,0.22158273286956678,0.4935251795559478,0.6575539552050529,0.8359712231931069,36.90039554117224,4,85,36.91942446043166,6,80,0.21748338168219725,0.20878612208802932,0.333886991028758,0.3542421398805076,2.8323720268789963,2.800044549283364
